         4118159 function calls (4116165 primitive calls) in 9.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008    0.008    0.008 /Users/addisonschiller/acceptable_loss/longbow.py:1(<module>)
      447    0.002    0.000    0.008    0.000 /Users/addisonschiller/acceptable_loss/effect.py:37(update)
    30731    0.008    0.000    0.008    0.000 {min}
    11154    0.007    0.000    0.007    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:503(_get_width)
      566    0.002    0.000    0.007    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexdomain.py:445(_get_colors)
     8907    0.005    0.000    0.007    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/Queue.py:200(_qsize)
     2682    0.004    0.000    0.007    0.000 /Users/addisonschiller/acceptable_loss/character.py:59(update_bar_position)
    31682    0.007    0.000    0.007    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:471(<lambda>)
       15    0.000    0.000    0.007    0.000 main.py:433(on_draw)
    11154    0.007    0.000    0.007    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:517(_get_height)
     2292    0.006    0.000    0.006    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:501(cast)
       12    0.000    0.000    0.006    0.001 /Users/addisonschiller/acceptable_loss/levelgenerator.py:67(__init__)
        1    0.002    0.002    0.006    0.006 /Users/addisonschiller/acceptable_loss/energy.py:1(<module>)
       14    0.000    0.000    0.006    0.000 /usr/local/lib/python2.7/site-packages/pyglet/window/cocoa/pyglet_textview.py:35(insertText_)
        1    0.006    0.006    0.006    0.006 /Users/addisonschiller/acceptable_loss/controller.py:1(<module>)
    17492    0.006    0.000    0.006    0.000 {method 'pop' of 'dict' objects}
    26726    0.006    0.000    0.006    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:64(_note)
       44    0.000    0.000    0.006    0.000 /usr/local/lib/python2.7/site-packages/pyglet/media/__init__.py:1412(load)
    26725    0.006    0.000    0.006    0.000 {time.time}
      467    0.004    0.000    0.006    0.000 /usr/local/lib/python2.7/site-packages/pyglet/gl/base.py:292(set_current)
